imdb.id,title.mixed,sample.year.first,fest.first,oscar_nominated
tt1462900,the grandmaster,2013,BERLINALE,1
tt1343092,the great gatsby,2013,CANNES,1
tt2199377,the great rabbit,2012,BERLINALE,0
tt0002206,the great steel secret,2013,CLERMONT-FERRAND,0
tt2390219,a story for the modlins,2012,IDFA,0
tt2403021,the green inferno,2013,TIFF,0
tt2049559,the happy sad,2013,FRAMELINE,0
tt3394604,the horses of fukushima,2013,IDFA,0
tt1802529,the human experiment,2013,IDFA,0
tt0179544,the humiliated,2013,IDFA,0
tt2565650,the husband,2013,TIFF,0
tt1951181,the immigrant,2013,CANNES,0
tt3123178,the immoral,2013,TIFF,0
tt2447806,the infamous t,2013,FRAMELINE,0
tt2316929,a stranger,2013,BERLINALE,0
tt1700845,the invisible woman,2013,TIFF,1
tt2704560,the irresistible rise of moïse katumbi,2013,IDFA,0
tt1621180,the karski report,2013,BERLINALE,0
tt2802172,the kids from the port,2013,TIFF,0
tt2146788,the king's body,2013,TIFF,0
tt0055069,the ladies man,2013,CANNES,0
tt2598592,the lala road,2013,FRAMELINE,0
tt0245500,the land of the wandering souls,2013,IDFA,0
tt0070290,the last detail,2013,CANNES,0
tt0093389,the last emperor,2013,CANNES,0
tt0096337,a tale of the wind,2013,IDFA,0
tt0455590,the last king of scotland,2013,IDFA,0
tt2153985,the last marble,2013,CLERMONT-FERRAND,0
tt2400002,the last match,2013,FRAMELINE,0
tt2450440,the last of robin hood,2013,TIFF,0
tt0070299,the legend of paul and paula,2013,BERLINALE,0
tt2387513,the liberator,2013,TIFF,0
tt2131502,the life and crimes of doris payne,2013,IDFA,0
tt2885328,the line,2013,CANNES,0
tt2156288,the little house that could,2013,FRAMELINE,0
tt2241206,a thousand empty glasses,2013,FRAMELINE,0
tt0057935,the lonely wife,2013,CANNES,0
tt1951216,the look of love,2013,BERLINALE,0
tt1669698,the lost thing,2013,CLERMONT-FERRAND,0
tt2234261,the love punch,2013,TIFF,0
tt2350496,the lunchbox,2013,TIFF,0
tt2865772,the magnificent lion boy,2013,CANNES,0
tt2594950,the major,2013,TIFF,0
tt2094151,the man that got away,2012,BERLINALE,0
tt2248996,the mayor,2013,TIFF,0
tt3118566,a thousand suns,2013,TIFF,0
tt2764856,the meatballs and sorry bullies,2013,BERLINALE,0
tt2201828,the mermaids,2013,FRAMELINE,0
tt2274358,the meteor,2013,BERLINALE,0
tt1921129,the militant,2013,TIFF,0
tt3879374,the mole at the sea,2013,BERLINALE,0
tt2433336,the moo man,2013,BERLINALE,0
tt2144169,the musgrave ritual,2013,CLERMONT-FERRAND,0
tt2423914,the naturalist,2013,FRAMELINE,0
tt1196948,the necessary death of charlie countryman,2013,BERLINALE,0
tt3060670,the new black,2013,FRAMELINE,0
tt2708210,a time is a terrible thing to waste,2013,TIFF,0
tt2526134,the night of the witness,2013,CLERMONT-FERRAND,0
tt2866544,the norm of life,2013,CANNES,0
tt2215221,the nun,2013,BERLINALE,0
tt1846783,the orator,2013,BERLINALE,0
tt3037846,the out list,2013,FRAMELINE,0
tt2404461,the past,2013,CANNES,0
tt2814560,the pigeon family,2013,FRAMELINE,0
tt2645142,the plague,2013,BERLINALE,0
tt1734429,the police officer's wife,2013,TIFF,0
tt2332707,blind detective,2013,CANNES,0
tt0318161,a very very silent film,2013,CLERMONT-FERRAND,0
tt3438704,the private life of fenfen,2013,IDFA,0
tt2231627,the pub,2012,CLERMONT-FERRAND,0
tt3400550,the queen,2013,IDFA,0
tt0041776,the queen of spades,2013,BERLINALE,0
tt2689366,the questioning,2013,IDFA,0
tt2058107,the railway man,2013,TIFF,0
tt2952902,the realist,2013,TIFF,0
tt2539478,the red carpet,2013,IDFA,0
tt2621110,the revenants,2013,BERLINALE,0
tt2014268,the rice paddy,2013,BERLINALE,0
tt0170734,a visitor from the living,2013,BERLINALE,0
tt2286990,the right kind of wrong,2013,TIFF,0
tt2294979,the river,2013,CLERMONT-FERRAND,0
tt3461442,the river,2013,IDFA,0
tt2671614,the rivers of babylon,2013,BERLINALE,0
tt2178256,the rocket,2013,BERLINALE,0
tt2630808,the runaway,2013,BERLINALE,0
tt2721584,the runaway troupe of the cartesian theater,2013,BERLINALE,0
tt2383068,the sacrament,2013,TIFF,0
tt1754708,the sea,2013,TIFF,0
tt2861532,a wolf at the door,2013,TIFF,0
tt2151756,the search for inspiration gone,2013,CLERMONT-FERRAND,0
tt2011271,the secret disco revolution,2013,FRAMELINE,0
tt3070030,the secret life of uri geller - psychic spy?,2013,IDFA,0
tt2304426,the selfish giant,2013,TIFF,0
tt2333238,the shine of day,2013,BERLINALE,0
tt1895441,the shower,2011,BERLINALE,0
tt3408668,the silence of the flies,2013,IDFA,0
tt2714884,the silent passenger,2013,BERLINALE,0
tt0041886,the small back room,2013,BERLINALE,0
tt2401813,a world for raul,2013,FRAMELINE,0
tt2387601,the special need,2013,IDFA,0
tt2332801,the spirit of '45,2013,BERLINALE,0
tt2486682,the square,2013,TIFF,1
tt2573858,the stag,2013,TIFF,0
tt2299206,the station,2013,TIFF,0
tt2126403,the stone roses: made of stone,2013,IDFA,0
tt2733258,the strange colour of your body`s tears,2013,TIFF,0
tt1865534,the streets of the invisibles,2012,CLERMONT-FERRAND,0
tt0003419,the student of prague,2013,BERLINALE,0
tt2884186,the summer of flying fish,2013,TIFF,0
tt2233762,a world not ours,2012,TIFF,0
tt1961265,the summer side,2013,FRAMELINE,0
tt2372301,the swimming pool,2013,BERLINALE,0
tt2417562,the town of whales,2013,BERLINALE,0
tt2489734,the trial of muhammed ali,2013,IDFA,0
tt2640014,the trouble with aid,2013,IDFA,0
tt1675189,the tunnel,2013,IDFA,0
tt0058450,the umbrellas of cherbourg,2013,CANNES,0
tt4919014,the undertaker,2013,IDFA,0
tt2390962,the unknown known,2013,TIFF,0
tt0088658,a.k.,2013,IDFA,0
tt3663134,the visit,2013,IDFA,0
tt1998355,the voorman problem,2013,CLERMONT-FERRAND,1
tt2715004,the waiting,2013,BERLINALE,0
tt2390250,the water seller,2013,CLERMONT-FERRAND,0
tt2395455,the weight of elephants,2013,BERLINALE,0
tt3022650,the wild years,2013,IDFA,0
tt2013293,the wind rises,2013,TIFF,1
tt2882590,the wonders,2013,TIFF,0
tt3073326,the world of goopi and bagha,2013,TIFF,0
tt2718284,about ndugu,2013,BERLINALE,0
tt2616018,the yearning room,2013,BERLINALE,0
tt1441083,the zigzag kid,2013,BERLINALE,0
tt0409379,therese,2013,TIFF,0
tt2728286,this is sanlitun,2013,TIFF,0
tt0069373,this tiny world,2013,IDFA,0
tt2762122,those happy years,2013,TIFF,0
tt2905772,thou gild'st the even,2013,TIFF,0
tt3778208,thread,2013,CLERMONT-FERRAND,0
tt3101742,three interpretation exercises,2013,TIFF,0
tt2205002,three kids,2013,BERLINALE,0
tt2418372,abuse of weakness,2013,TIFF,0
tt3123188,three landscapes,2013,TIFF,0
tt4835374,three of us,2013,CLERMONT-FERRAND,0
