Year_int,Any festival,BERLINALE,CANNES,CLERMONT-FERRAND,FRAMELINE,IDFA,TIFF
2011,1.9784172661870503,2.73972602739726,6.41025641025641,0.0,0.0,0.47393364928909953,3.4129692832764507
2012,1.9313304721030045,1.9900497512437811,6.172839506172839,0.9174311926605505,0.0,1.3157894736842104,3.3557046979865772
2013,2.269601100412655,1.4705882352941175,6.140350877192982,0.6309148264984227,0.0,3.061224489795918,4.1269841269841265
2014,2.883720930232558,1.8518518518518516,11.538461538461538,0.8064516129032258,0.0,1.0204081632653061,4.792332268370607
2015,2.488479262672811,1.932367149758454,11.25,0.0,0.0,1.4492753623188406,3.4267912772585665
2016,2.4500907441016335,0.881057268722467,6.4,0.7518796992481203,0.0,2.312138728323699,3.614457831325301
2017,2.803738317757009,1.7543859649122806,3.669724770642202,2.7777777777777777,0.8547008547008548,0.49504950495049505,5.555555555555555
2018,6.493506493506493,,1.25,5.128205128205128,0.0,0.0,13.043478260869565
2019,4.878048780487805,,4.615384615384616,5.714285714285714,0.0,0.0,5.9405940594059405
2020,4.026845637583892,,0.0,4.10958904109589,0.0,0.0,5.769230769230769
2021,2.272727272727273,,1.9607843137254901,3.0303030303030303,0.0,0.0,3.225806451612903
2022,4.472843450479233,,3.571428571428571,2.4096385542168677,0.0,0.0,11.475409836065573
2023,3.642384105960265,,3.875968992248062,3.8461538461538463,0.0,0.0,4.054054054054054
2024,4.406779661016949,,3.0534351145038165,6.153846153846154,0.0,0.0,6.578947368421052
2025,4.827586206896552,,4.651162790697675,5.0,0.0,,6.25
