film.id,unique.id,sample.year,fest,fest.sect
f5047,1097,2013,FRAMELINE,Shorts: Fire We Make
f5048,1098,2013,FRAMELINE,Shorts: Families Are Forever
f3167,1099,2013,TIFF,Contemporary World Cinema
f1343,11,2013,BERLINALE,Berlinale Goes Kiez
f3198,1100,2013,TIFF,Contemporary World Cinema
f4204,1101,2013,CLERMONT-FERRAND,Collections
f5052,1102,2013,FRAMELINE,Shorts: Generations: Youth and Elders Making Movies
f6063,1103,2013,IDFA,IDFA Panorama
f3106,1104,2013,TIFF,Special Presentation
f3197,1105,2013,TIFF,Contemporary World Cinema
f3207,1106,2013,TIFF,TIFF Docs
f17313,1106,2014,BERLINALE,Panorama
frnew509,1106,2014,FRAMELINE,NA
f3056,1107,2013,TIFF,Special Presentation
f3309,1108,2013,TIFF,Short Cuts Canada
f1257,1109,2013,BERLINALE,Generation
f1123,111,2013,BERLINALE,Forum
f1227,1110,2013,BERLINALE,Generation
f1339,1111,2013,BERLINALE,"NATIVe - Indigenous Cinema"
f3039,1112,2013,TIFF,Special Presentation
f3053,1113,2013,TIFF,Special Presentation
f3342,1115,2013,TIFF,Vanguard
f5067,1116,2013,FRAMELINE,Shorts: Between Ring & Pendant
f3001,1117,2013,TIFF,Opening Night Gala
f3081,1118,2013,TIFF,Special Presentation
f5070,1119,2013,FRAMELINE,Shorts: Fun In Girls Shorts
f4067,112,2013,CLERMONT-FERRAND,International Competition
f1218,1120,2013,BERLINALE,Generation
f6090,1121,2013,IDFA,IDFA Top 10
f5074,1122,2013,FRAMELINE,Shorts: Rats in Glitter
f6093,1123,2013,IDFA,IDFA Panorama
f4279,1124,2013,CLERMONT-FERRAND,Ecoles
f1250,1125,2013,BERLINALE,Generation
idfnew453,1126,2012,IDFA,Masters
f1360,1126,2013,BERLINALE,Culinary Cinema
f5082,1127,2013,FRAMELINE,Shorts: Bi Candy
f2114,1128,2013,CANNES,Cinéma De La Plage
f2038,1129,2013,CANNES,Un Certain Regard
f3260,113,2013,TIFF,Wavelength
f6097,1130,2013,IDFA,IDFA Best of Fests;IDFA DOC U Competition; IDFA Focus: Green Screen
f4149,1131,2013,CLERMONT-FERRAND,Lab Competition
f4280,1132,2013,CLERMONT-FERRAND,Ecoles
f5084,1133,2013,FRAMELINE,US Features; First Feature Award
f6102,1134,2013,IDFA,IDFA Competition for Mid-Length Documentary
f3008,1135,2013,TIFF,Gala Presentation
f1025,1136,2013,BERLINALE,Competition (out of competition)
f2044,1137,2013,CANNES,Out of Competition
f16867,1138,2012,BERLINALE,Berlinale Shorts
f4150,1138,2013,CLERMONT-FERRAND,Lab Competition
f4309,1139,2013,CLERMONT-FERRAND,Festival Partners
idfnew651,114,2012,IDFA,Paradocs
f4143,114,2013,CLERMONT-FERRAND,Lab Competition
f3355,1140,2013,TIFF,Midnight Madness
f5089,1141,2013,FRAMELINE,"Showcase Programs, US Features"
f6105,1142,2013,IDFA,IDFA Focus: Stand-Up Documentary
f6114,1143,2013,IDFA,IDFA Panorama;IDFA Focus: Green Screen
f6117,1144,2013,IDFA,IDFA Panorama;IDFA Focus: Green Screen
f6119,1145,2013,IDFA,IDFA Paradocs: Barbara Visser - The Making of Movies
f3075,1146,2013,TIFF,Special Presentation
f2018,1147,2013,CANNES,In Competition
f3160,1148,2013,TIFF,Contemporary World Cinema
f5107,1149,2013,FRAMELINE,Shorts: Families Are Forever
f1153,115,2013,BERLINALE,Forum
f3070,1150,2013,TIFF,Special Presentation
f6127,1151,2013,IDFA,IDFA Masters
f1313,1152,2013,BERLINALE,Homage
f3199,1153,2013,TIFF,Contemporary World Cinema
f3267,1154,2013,TIFF,Wavelength
f2115,1155,2013,CANNES,Cinéma De La Plage
f5127,1156,2013,FRAMELINE,NA
f6142,1157,2013,IDFA,IDFA Rithy Panh Retrospective
f2100,1158,2013,CANNES,Cannes Classics - Restored Prints
f2101,1159,2013,CANNES,Cannes Classics - Restored Prints
f6246,116,2013,IDFA,IDFA Top 10
f6144,1161,2013,IDFA,IDFA Focus: Based on the Same Story
f4282,1162,2013,CLERMONT-FERRAND,Ecoles
f5126,1163,2013,FRAMELINE,World Cinema
f3110,1164,2013,TIFF,Special Presentation
f1079,1165,2013,BERLINALE,Panorama
f3103,1166,2013,TIFF,Special Presentation
f6149,1167,2013,IDFA,IDFA Best of Fests
f2068,1168,2013,CANNES,Cinéfondation
f5133,1169,2013,FRAMELINE,Documentaries
f5211,117,2013,FRAMELINE,Shorts: Kiss Me Softly
f2084,1170,2013,CANNES,Cannes Classics - Restored Prints
f1061,1171,2013,BERLINALE,Berlinale Special
f4217,1172,2013,CLERMONT-FERRAND,Collections
f3017,1173,2013,TIFF,Gala Presentation
f3007,1174,2013,TIFF,Gala Presentation
f2070,1175,2013,CANNES,Cinéfondation
f3184,1176,2013,TIFF,Contemporary World Cinema
f17011,1177,2012,BERLINALE,Berlinale Shorts
f5235,1177,2013,FRAMELINE,Shorts: Something Real
f6158,1178,2013,IDFA,IDFA Focus: Emerging Voices from Southeast Asia
f3219,1179,2013,TIFF,TIFF Docs
f3257,118,2013,TIFF,Wavelength
f1225,1180,2013,BERLINALE,Generation
f5146,1181,2013,FRAMELINE,Shorts: Dating is a Contact Sport
f1148,1182,2013,BERLINALE,Forum
f3132,1183,2013,TIFF,Discovery
f1226,1184,2013,BERLINALE,Generation
f1361,1185,2013,BERLINALE,Culinary Cinema
f4320,1186,2013,CLERMONT-FERRAND,Festival Partners
f5154,1187,2013,FRAMELINE,Shorts: Blood in the Grass
f1019,1188,2013,BERLINALE,Competition
f5156,1189,2013,FRAMELINE,"Showcase Programs, Documentaries"
f3304,119,2013,TIFF,Short Cuts Canada
