film.id,unique.id,sample.year,fest,fest.sect,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
f3176,105,2013,TIFF,Contemporary World Cinema,tt2960994,a place in heaven,2013.0,118.0,41 min. or longer,Israel,,,,,,,1,0,0,0,0,0,0,Yossi Madmony,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Contemporary World Cinema,2013,0.0
f5001,1050,2013,FRAMELINE,Documentaries,tt2776652,the abominable crime,2013.0,66.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,Micah Fink,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,LGBT*Q films,1,0,0,other documentary,FRAMELINE,Documentaries,2013,0.0
tffnew644,1051,2012,TIFF,special presentation: 2012,tt2375605,the act of killing,2012.0,117.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,"Oppenheimer, Joshua","Synn, Christine",Anonymous,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,special presentation: 2012,2012,0.0
f1113,1051,2013,BERLINALE,Panorama,tt2375605,the act of killing,2012.0,117.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,"Oppenheimer, Joshua","Synn, Christine",Anonymous,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,special presentation: 2012,2012,0.0
f5004,1052,2013,FRAMELINE,Shorts: I Left My Ex in San Francisco,tt2190522,the altered lives of lavonne salleé,2012.0,12.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Jazmin Jamias,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,LGBT*Q films,0,0,0,other documentary,FRAMELINE,Shorts: I Left My Ex in San Francisco,2013,0.0
f3126,1053,2013,TIFF,Discovery,tt2414046,the amazing catfish,2013.0,89.0,41 min. or longer,Mexico,,,,,,,0,0,0,0,0,1,0,Claudia Sainte-Luce,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Discovery,2013,0.0
f1246,1054,2013,BERLINALE,Generation,tt2713836,the amber amulet,2012.0,23.0,40 min. or shorter,Australia,,,,,,,0,0,0,0,0,0,1,Matthew Moore,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,BERLINALE,Generation,2013,0.0
f3151,1055,2013,TIFF,Contemporary World Cinema,tt3064532,the animal project,2013.0,90.0,41 min. or longer,Canada,,,,,,,0,0,0,1,0,0,0,Ingrid Veninger,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Contemporary World Cinema,2013,0.0
f2099,1056,2013,CANNES,Cannes Classics - Restored Prints,tt0071155,the apprenticeship of duddy kravit,1974.0,120.0,41 min. or longer,Canada,,,,,,,0,0,0,1,0,0,0,Ted Kotcheff,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,1,0,other fiction,CANNES,Cannes Classics - Restored Prints,2013,1.0
f6012,1057,2013,IDFA,IDFA Masters,tt3803600,the art of observing life,2013.0,71.0,41 min. or longer,United States,Russia,,,,,,0,0,0,1,1,0,0,Marina Goldovskaya,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,0,other documentary,IDFA,IDFA Masters,2013,0.0
f3015,1058,2013,TIFF,Gala Presentation,tt2172985,the art of the steal,2013.0,90.0,41 min. or longer,Canada,,,,,,,0,0,0,1,0,0,0,Jonathan Sobol,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Gala Presentation,2013,0.0
f1338,1059,2013,BERLINALE,NATIVe - Indigenous Cinema,tt0222782,the ballad of crowfoot,1968.0,10.0,40 min. or shorter,Canada,,,,,,,0,0,0,1,0,0,0,Willie Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,other films,1,0,0,other documentary,BERLINALE,NATIVe - Indigenous Cinema,2013,1.0
